# altimeter jump log
# mode=FLIGHT sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=3.000 sigma_meas=0.600 gate=2.00 inflate=500
# zones bounds=-1000000000.00,800.00,1200.00,1500.00,4500.00 hyst_urgent=0.00 hyst_relax=8.00 dwell_urgent=50 dwell_relax=400
# qnh=1013.25 ground_p=996.824
# started=2026-08-15 10:17:13
# version=0.10.0 build=Aug 14 2026 22:10:41
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase,ground_p
454789,989.490,25.70,62.052,61.785,6.25,1,2,996.824
454909,989.300,25.52,63.664,63.264,7.73,1,2,996.824
454934,989.320,25.54,63.495,63.481,7.78,1,2,996.824
454959,989.270,25.55,63.920,63.836,8.13,1,2,996.824
454984,989.120,25.57,65.191,64.861,10.39,1,2,996.824
455009,989.230,25.58,64.259,64.550,8.04,1,2,996.824
455034,989.210,25.59,64.428,64.552,6.71,1,2,996.824
455059,989.180,25.60,64.684,64.700,6.49,1,2,996.824
455084,989.140,25.62,65.022,64.960,7.56,1,2,996.824
455109,989.180,25.63,64.684,64.891,4.65,1,2,996.824
455134,989.160,25.63,64.853,64.931,3.83,1,2,996.824
455159,989.220,25.64,64.343,64.716,0.77,1,2,996.824
455184,989.120,25.65,65.191,64.927,2.47,1,2,996.824
455209,989.160,25.66,64.853,64.936,2.05,1,2,996.824
455234,989.070,25.66,65.617,65.215,3.67,1,2,996.824
455259,988.990,25.67,66.296,65.682,6.09,1,2,996.824
455284,989.020,25.67,66.042,65.913,6.56,1,2,996.824
455309,989.000,25.68,66.211,66.129,6.82,1,2,996.824
455334,988.870,25.68,67.316,66.747,9.11,1,2,996.824
455359,989.030,25.68,65.955,66.607,7.33,1,2,996.824
455384,989.010,25.69,66.127,66.581,6.37,1,2,996.824
455409,988.950,25.69,66.637,66.711,6.24,1,2,996.824
455434,988.880,25.69,67.229,66.963,6.64,1,2,996.824
455459,988.770,25.70,68.164,67.378,7.65,1,2,996.824
455484,988.800,25.70,67.910,67.648,7.95,1,2,996.824
455509,988.860,25.70,67.400,67.749,7.59,1,2,996.824
455534,988.730,25.71,68.505,68.054,8.01,1,2,996.824
455559,988.710,25.71,68.674,68.337,8.30,1,2,996.824
455584,988.660,25.71,69.097,68.668,8.70,1,2,996.824
455609,988.750,25.71,68.333,68.772,8.34,1,2,996.824
455634,988.720,25.71,68.589,68.907,8.10,1,2,996.824
455659,988.670,25.71,69.012,69.090,8.05,1,2,996.824
455684,988.600,25.71,69.607,69.348,8.21,1,2,996.824
455709,988.740,25.72,68.418,69.361,7.69,1,2,996.824
455734,988.680,25.72,68.928,69.451,7.43,1,2,996.824
455759,988.580,25.72,69.776,69.658,7.48,1,2,996.824
455784,988.610,25.72,69.522,69.801,7.36,1,2,996.824
455809,988.670,25.72,69.012,69.842,7.02,1,2,996.824
455834,988.590,25.72,69.691,69.974,6.92,1,2,996.824
455859,988.490,25.72,70.542,70.199,7.04,1,2,996.824
455884,988.490,25.72,70.542,70.396,7.09,1,2,996.824
455909,988.540,25.72,70.117,70.516,6.96,1,2,996.824
455934,988.500,25.73,70.457,70.658,6.90,1,2,996.824
455959,988.430,25.73,71.052,70.862,6.95,1,2,996.824
455984,988.530,25.73,70.201,70.936,6.75,1,2,996.824
456009,988.450,25.73,70.880,71.080,6.70,1,2,996.824
456034,988.330,25.73,71.900,71.318,6.85,1,2,996.824
456059,988.370,25.73,71.562,71.498,6.86,1,2,996.824
456084,988.570,25.73,69.863,71.472,6.50,1,2,996.824
456109,988.480,25.73,70.627,71.527,6.30,1,2,996.824
456134,988.450,25.73,70.880,71.600,6.14,1,2,996.824
456159,988.520,25.73,70.286,71.488,5.67,1,2,996.824
456184,988.460,25.74,70.796,71.372,5.22,1,2,996.824
456209,988.630,25.74,69.353,70.274,3.06,1,2,996.824
456234,988.550,25.74,70.032,70.125,2.65,1,2,996.824
456259,988.470,25.74,70.711,70.557,3.43,1,2,996.824
456284,988.390,25.74,71.390,71.113,4.87,1,2,996.824
456309,988.450,25.74,70.880,71.012,3.81,1,2,996.824
456334,988.430,25.74,71.052,71.073,3.54,1,2,996.824
456359,988.270,25.74,72.410,71.792,9.73,1,2,996.824
456384,988.210,25.74,72.920,72.449,14.01,1,2,996.824
456409,988.400,25.74,71.306,72.078,6.80,1,2,996.824
456434,988.390,25.74,71.390,71.772,2.42,1,2,996.824
456459,988.200,25.74,73.005,72.380,7.11,1,2,996.824
456484,988.170,25.74,73.261,72.845,9.42,1,2,996.824
456509,988.210,25.74,72.920,73.019,8.98,1,2,996.824
456534,988.340,25.74,71.816,72.740,5.58,1,2,996.824
456559,988.450,25.75,70.880,71.844,-0.80,1,2,996.824
456584,988.150,25.75,73.430,72.486,3.05,1,2,996.824
456609,988.200,25.75,73.005,72.718,3.92,1,2,996.824
456634,988.310,25.75,72.069,72.579,2.67,1,2,996.824
456659,988.320,25.75,71.985,72.427,1.58,1,2,996.824
456684,988.210,25.75,72.920,72.602,2.22,1,2,996.824
456709,988.000,25.75,74.704,73.217,4.77,1,2,996.824
456734,988.260,25.75,72.495,73.122,3.84,1,2,996.824
456759,988.180,25.75,73.174,73.207,3.80,1,2,996.824
456784,987.980,25.75,74.875,73.659,5.20,1,2,996.824
456809,987.840,25.75,76.062,74.277,7.05,1,2,996.824
456834,987.970,25.75,74.960,74.560,7.42,1,2,996.824
456859,987.940,25.75,75.214,74.839,7.74,1,2,996.824
456884,987.860,25.75,75.893,75.194,8.27,1,2,996.824
456909,987.800,25.75,76.403,75.611,8.94,1,2,996.824
456934,987.940,25.75,75.214,75.714,8.57,1,2,996.824
456959,987.960,25.75,75.045,75.759,8.09,1,2,996.824
456984,987.960,25.75,75.045,75.798,7.63,1,2,996.824
457009,987.900,25.75,75.552,75.920,7.43,1,2,996.824
457034,988.050,25.75,74.278,75.807,6.66,1,2,996.824
457059,987.980,25.75,74.875,75.803,6.22,1,2,996.824
457084,987.860,25.75,75.893,75.948,6.20,1,2,996.824
457109,987.930,25.75,75.298,75.986,5.92,1,2,996.824
457134,987.990,25.76,74.788,75.935,5.46,1,2,996.824
457159,988.010,25.76,74.619,75.732,4.69,1,2,996.824
457184,987.870,25.76,75.808,75.835,4.67,1,2,996.824
457209,987.740,25.76,76.913,76.198,5.20,1,2,996.824
457234,987.990,25.76,74.788,75.808,4.08,1,2,996.824
457259,988.150,25.76,73.430,74.472,1.00,1,2,996.824
