# altimeter jump log
# mode=BENCH sample_hz=40 osr=12 math_mode=1
# filter sigma_accel=0.050 sigma_meas=0.250 gate=2.00 inflate=500
# zones bounds=0.15,0.80,1.20,1.50,4.50 hyst_urgent=0.07 hyst_relax=0.07 dwell_urgent=300 dwell_relax=300
# qnh=1013.25 ground_p=969.617
# build=Aug  2 2026 23:49:12
t_ms,p_hpa,temp_c,alt_raw_m,alt_filt_m,vs_mps,zone,phase
3404,969.560,35.75,0.497,0.151,0.00,0,0
3429,969.570,35.80,0.410,0.238,0.07,0,0
3454,969.580,35.85,0.322,0.262,0.11,0,0
3479,969.590,35.89,0.238,0.258,0.09,0,0
3504,969.570,35.93,0.410,0.292,0.21,0,0
3529,969.640,35.96,-0.196,0.195,-0.25,0,0
3554,969.590,35.99,0.238,0.199,-0.20,0,0
3579,969.560,36.02,0.497,0.257,0.11,0,0
3604,969.620,36.05,-0.021,0.201,-0.17,0,0
3629,969.630,36.07,-0.108,0.132,-0.47,0,0
3654,969.630,36.09,-0.108,0.072,-0.69,0,0
3679,969.590,36.10,0.238,0.093,-0.53,0,0
3704,969.650,36.13,-0.280,0.007,-0.82,0,0
3729,969.610,36.14,0.066,0.002,-0.76,0,0
3754,969.690,36.15,-0.626,-0.134,-1.19,0,0
3779,969.620,36.17,-0.021,-0.137,-1.09,0,0
3804,969.710,36.18,-0.798,-0.279,-1.47,0,0
3829,969.660,36.19,-0.367,-0.325,-1.50,0,0
3854,969.630,36.20,-0.108,-0.319,-1.37,0,0
3879,969.610,36.21,0.066,-0.285,-1.17,0,0
3904,969.630,36.22,-0.108,-0.281,-1.08,0,0
3929,969.610,36.22,0.066,-0.251,-0.93,0,0
3954,969.620,36.23,-0.021,-0.237,-0.84,0,0
3979,969.640,36.24,-0.196,-0.249,-0.82,0,0
4004,969.660,36.24,-0.367,-0.283,-0.85,0,0
4029,969.650,36.25,-0.280,-0.301,-0.84,0,0
4054,969.670,36.25,-0.452,-0.339,-0.88,0,0
4079,969.660,36.26,-0.367,-0.362,-0.88,0,0
4104,969.650,36.26,-0.280,-0.371,-0.85,0,0
4129,969.670,36.26,-0.452,-0.399,-0.87,0,0
4154,969.660,36.27,-0.367,-0.415,-0.86,0,0
4179,969.640,36.27,-0.196,-0.409,-0.81,0,0
4204,969.670,36.27,-0.452,-0.432,-0.81,0,0
4229,969.680,36.28,-0.539,-0.461,-0.83,0,0
4254,969.660,36.28,-0.367,-0.470,-0.81,0,0
4279,969.660,36.28,-0.367,-0.477,-0.79,0,0
4304,969.670,36.28,-0.452,-0.493,-0.78,0,0
4329,969.670,36.29,-0.452,-0.506,-0.77,0,0
4354,969.720,36.29,-0.883,-0.560,-0.82,0,0
4379,969.680,36.29,-0.539,-0.576,-0.82,0,0
4404,969.660,36.29,-0.367,-0.576,-0.79,0,0
4429,969.650,36.29,-0.280,-0.567,-0.75,0,0
4454,969.680,36.29,-0.539,-0.582,-0.74,0,0
4479,969.660,36.30,-0.367,-0.580,-0.71,0,0
4504,969.700,36.30,-0.711,-0.608,-0.73,0,0
4529,969.700,36.30,-0.711,-0.633,-0.74,0,0
4554,969.660,36.30,-0.367,-0.628,-0.71,0,0
4579,969.700,36.30,-0.711,-0.651,-0.71,0,0
4604,969.720,36.30,-0.883,-0.685,-0.73,0,0
4629,969.690,36.30,-0.626,-0.698,-0.73,0,0
4654,969.680,36.30,-0.539,-0.703,-0.71,0,0
4679,969.700,36.31,-0.711,-0.720,-0.71,0,0
4704,969.690,36.30,-0.626,-0.730,-0.70,0,0
4729,969.710,36.30,-0.798,-0.751,-0.70,0,0
4754,969.690,36.31,-0.626,-0.758,-0.69,0,0
4779,969.690,36.31,-0.626,-0.766,-0.68,0,0
4804,969.670,36.31,-0.452,-0.761,-0.66,0,0
4829,969.680,36.31,-0.539,-0.761,-0.64,0,0
4854,969.690,36.31,-0.626,-0.768,-0.63,0,0
4879,969.640,36.31,-0.196,-0.728,-0.58,0,0
4904,969.650,36.31,-0.280,-0.662,-0.50,0,0
4929,969.680,36.31,-0.539,-0.636,-0.46,0,0
4954,969.660,36.31,-0.367,-0.529,-0.35,0,0
4979,969.720,36.31,-0.883,-0.683,-0.49,0,0
5004,969.650,36.31,-0.280,-0.492,-0.29,0,0
5029,969.680,36.31,-0.539,-0.519,-0.31,0,0
5054,969.670,36.31,-0.452,-0.490,-0.27,0,0
5079,969.700,36.31,-0.711,-0.584,-0.38,0,0
5104,969.650,36.31,-0.280,-0.462,-0.20,0,0
5129,969.670,36.31,-0.452,-0.461,-0.18,0,0
5154,969.660,36.31,-0.367,-0.425,-0.10,0,0
5179,969.720,36.31,-0.883,-0.571,-0.49,0,0
5204,969.680,36.31,-0.539,-0.571,-0.45,0,0
5229,969.640,36.31,-0.196,-0.479,-0.06,0,0
5254,969.720,36.32,-0.883,-0.579,-0.46,0,0
5279,969.690,36.32,-0.626,-0.599,-0.50,0,0
5304,969.670,36.32,-0.452,-0.576,-0.34,0,0
5329,969.700,36.32,-0.711,-0.612,-0.46,0,0
5354,969.670,36.31,-0.452,-0.587,-0.31,0,0
5379,969.690,36.32,-0.626,-0.601,-0.33,0,0
5404,969.690,36.31,-0.626,-0.613,-0.35,0,0
5429,969.660,36.32,-0.367,-0.571,-0.15,0,0
5454,969.690,36.32,-0.626,-0.585,-0.19,0,0
5479,969.690,36.32,-0.626,-0.597,-0.21,0,0
5504,969.660,36.32,-0.367,-0.559,-0.07,0,0
5529,969.680,36.32,-0.539,-0.557,-0.06,0,0
5554,969.660,36.32,-0.367,-0.526,0.04,0,0
5579,969.670,36.32,-0.452,-0.513,0.08,0,0
5604,969.660,36.32,-0.367,-0.488,0.14,0,0
5629,969.610,36.32,0.066,-0.375,0.44,0,0
5654,969.640,36.32,-0.196,-0.322,0.55,0,0
5679,969.660,36.32,-0.367,-0.324,0.51,0,0
5704,969.680,36.32,-0.539,-0.362,0.38,0,0
5729,969.660,36.32,-0.367,-0.356,0.38,0,0
5754,969.650,36.32,-0.280,-0.334,0.40,0,0
5779,969.620,36.32,-0.021,-0.272,0.52,0,0
5804,969.680,36.32,-0.539,-0.304,0.42,0,0
5829,969.660,36.31,-0.367,-0.305,0.40,0,0
5854,969.690,36.32,-0.626,-0.343,0.30,0,0
5879,969.670,36.31,-0.452,-0.352,0.26,0,0
5904,969.670,36.31,-0.452,-0.359,0.23,0,0
5929,969.670,36.31,-0.452,-0.366,0.21,0,0
5954,969.660,36.31,-0.367,-0.362,0.21,0,0
5979,969.650,36.31,-0.280,-0.347,0.22,0,0
